compare_method,loss_result,mi_f1_result,ma_f1_result,mi_auc_result,ma_auc_result
[0]LDA_Doc2_TFIDF_invoke_tags,0.567248642,0.812003968,0.829625883,0.991323187,0.989411654
[1]Doc2_TFIDF_invoke_tags,0.767833173,0.726686508,0.758270561,0.984422345,0.980348334
[2]LDA_TFIDF_invoke_tags,0.628267884,0.779761905,0.809635412,0.989430797,0.985997948
[3]LDA_Doc2_invoke_tags,0.585903168,0.803571429,0.820979148,0.991047484,0.989346614
[4]LDA_Doc2_TFIDF_tags,0.569819748,0.798115079,0.818748965,0.991416322,0.989293759
[5]LDA_Doc2_TFIDF_invoke,1.599155545,0.485615079,0.462513423,0.927656799,0.919076433
